NewCompletedTrajs,StepsInTrajWindow,Iteration,CumTime (s),CumSteps,CumCompletedTrajs,CumUpdates,StepsPerSecond,UpdatesPerSecond,ReplayRatio,CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
48,19200,5,14.1302011013031,19200,48,192,1358.791701713952,13.587917017139521,32.0,32.0,400.0,0.0,400.0,400,400,-2739.742539325627,152.3150381717971,-2712.582418393334,-3283.7323724881376,-2542.3891181262484,400.0,0.0,400.0,400,400,-594.2912628564891,23.01897135412069,-589.1461394602653,-680.0888642419009,-567.4988058916134,6394.737495422363,321.2629617137501,6372.22412109375,5871.8427734375,6958.21728515625,4173399.658038491,878680.9766477528,4415785.416181314,2601647.3984731473,5207168.709914474,2.843083381652832,0.006399402431871767,2.8406612873077393,2.8368425369262695,2.8554201126098633,17.170774112145107,0.1098978319564536,17.12886333465576,17.06334686279297,17.382835388183594
48,38400,11,28.28493356704712,38400,96,384,1356.4367992447808,13.564367992447808,32.0,32.0,400.0,0.0,400.0,400,400,-2769.4175697955884,163.3147990244803,-2738.802299986539,-3283.7323724881376,-2542.3891181262484,400.0,0.0,400.0,400,400,-597.0727495975019,21.647489483888233,-592.1137644681627,-680.0888642419009,-567.4988058916134,6605.0007400512695,278.17634791091757,6703.81103515625,5965.9326171875,6856.291015625,5583633.23147466,172893.43490665776,5623032.946840849,5318956.266485155,5777203.11025228,2.843604406962792,0.004141085425526635,2.8434553146362305,2.8362622261047363,2.8509981632232666,17.17914245525996,0.07113345996778926,17.17689800262451,17.05398178100586,17.30590057373047
48,40000,17,42.476884841918945,57600,144,576,1352.879503891434,13.528795038914339,32.0,32.0,400.0,0.0,400.0,400,400,-2734.5228678430058,158.42787437336665,-2682.0226017723276,-3216.988283677213,-2529.131892681423,400.0,0.0,400.0,400,400,-593.7918213197761,18.03577075846145,-588.7562616077284,-651.0358527276233,-569.7988403116944,5900.70964050293,178.69276844757036,5838.41796875,5657.41259765625,6218.99267578125,5462172.059726662,75421.4323988491,5430607.482427457,5362982.016908901,5585380.897977898,2.8109654150903225,0.01564687974901821,2.8078776597976685,2.78043794631958,2.836212158203125,16.63162711262703,0.25800152130322035,16.575562477111816,16.13378143310547,17.05316734313965
48,40000,23,56.70413684844971,76800,192,768,1349.5227322315363,13.495227322315362,32.0,32.0,400.0,0.0,400.0,400,400,-2700.1354673704272,140.78105213082566,-2655.134485026741,-3186.2232862181754,-2524.3966112474413,400.0,0.0,400.0,400,400,-591.1539529124937,16.90785470057236,-585.1053933679336,-654.8248445816516,-570.5651455626615,6019.7204996744795,185.35388515552222,6062.978759765625,5644.7119140625,6287.9990234375,5526744.133021531,77394.64563613677,5545686.421032511,5374396.1510571875,5636417.910023419,2.76560644681255,0.007007453660201653,2.765329599380493,2.7542855739593506,2.780043125152588,15.895736619830132,0.11320797063864362,15.890604972839355,15.713293075561523,16.12734031677246
48,40000,29,70.9246826171875,96000,240,960,1350.159150868102,13.50159150868102,32.0,32.0,400.0,0.0,400.0,400,400,-2692.6114547346347,157.80024311714467,-2643.7073231871564,-3349.943496123206,-2493.6239853007914,400.0,0.0,400.0,400,400,-590.3020378770376,19.689587169963136,-583.680975404227,-701.0389970994286,-565.3628627514264,5754.27486928304,215.3324835357014,5620.44970703125,5562.67236328125,6132.830078125,5412338.253447236,87830.99826619595,5359929.049110746,5325131.2252205685,5565938.768529629,2.738584083815416,0.005941037354664157,2.7372370958328247,2.7308316230773926,2.75408935546875,15.466463441650072,0.0926384317344765,15.444824695587158,15.346721649169922,15.710288047790527
48,40000,35,84.98990821838379,115200,288,1152,1365.0687549844195,13.650687549844195,32.0,32.0,400.0,0.0,400.0,400,400,-2684.2118328356287,146.01963021053945,-2637.6004815413644,-3349.943496123206,-2492.121418511629,400.0,0.0,400.0,400,400,-588.4111446143636,17.601758262245927,-583.003361521138,-701.0389970994286,-564.1064245806878,5783.417689005534,304.27909573971215,5793.491943359375,5343.537109375,6335.2216796875,5429274.937852244,128091.4035355988,5436152.591049122,5241604.706234246,5663912.102495293,2.7205471185346446,0.013279941181081572,2.7244410514831543,2.695690393447876,2.736549139022827,15.192007099588713,0.19978877521592484,15.250380992889404,14.81889533996582,15.433720588684082
48,40000,41,99.02746033668518,134400,336,1344,1367.7598371989723,13.677598371989722,32.0,32.0,400.0,0.0,400.0,400,400,-2709.870404291362,127.4384525851461,-2684.53524995282,-3118.2893103453,-2492.121418511629,400.0,0.0,400.0,400,400,-590.1219685945393,14.438826871451553,-586.0809641073176,-656.2660040647453,-564.1064245806878,5845.981262207031,126.91347868026222,5864.947021484375,5582.2763671875,6017.81005859375,5450022.753560311,54012.402338244414,5458076.973810766,5335764.989898658,5528416.113875668,2.697945745040973,0.004130018284881945,2.695899724960327,2.6935341358184814,2.7076382637023926,14.856645867228508,0.0634796266114202,14.823055267333984,14.794198989868164,15.004345893859863
48,40000,47,113.08972239494324,153600,384,1536,1365.356435576082,13.653564355760821,32.0,32.0,400.0,0.0,400.0,400,400,-2723.0233423228633,141.8735682114597,-2690.200973839712,-3118.2893103453,-2508.9285130548215,400.0,0.0,400.0,400,400,-592.003826097608,16.95760356245561,-588.0385659504786,-674.2931041022985,-566.8525212421321,5723.8811772664385,267.3659349568335,5679.53466796875,5291.24169921875,6133.07373046875,5385282.465113897,115750.00582166729,5364009.849179926,5197004.275856705,5563708.7912062,2.699721315254768,0.002746442468018995,2.6998238563537598,2.6949832439422607,2.707138776779175,14.889407098293304,0.04098662116787848,14.88921308517456,14.821044921875,15.001583099365234
48,40000,53,127.22850847244263,172800,432,1728,1357.9666524946635,13.579666524946635,32.0,32.0,400.0,0.0,400.0,400,400,-2733.6700844871702,166.56662611058744,-2693.8457434414618,-3363.063956546432,-2508.9285130548215,400.0,0.0,400.0,400,400,-593.5017450904136,21.022536644285925,-587.6089427766412,-710.0846664491789,-566.8525212421321,5863.779034932454,205.50832622560225,5908.631591796875,5536.9423828125,6121.28076171875,5442136.014675935,89193.35544957308,5464270.822231917,5295363.78520372,5556464.329563821,2.704249865065018,0.006076764858129724,2.707231044769287,2.6870996952056885,2.7096915245056152,14.95760348935922,0.09162894831743884,15.004016399383545,14.70589828491211,15.038991928100586
48,40000,59,141.33708572387695,192000,480,1920,1360.8742864591866,13.608742864591866,32.0,32.0,400.0,0.0,400.0,400,400,-2764.631084751716,183.448134625821,-2728.870057417873,-3363.063956546432,-2507.0052964419383,400.0,0.0,400.0,400,400,-596.0625087237871,22.031314543099317,-588.9567661653409,-710.0846664491789,-567.2024918125816,5925.510419209798,442.38228451804537,6161.090087890625,5114.60595703125,6403.869140625,5458274.242239076,196695.52599753445,5556551.26448256,5102276.354566326,5680507.976162486,2.674631887425979,0.015181942972163005,2.6816428899765015,2.6464765071868896,2.6928985118865967,14.532339453697205,0.22446863029882144,14.635841369628906,14.122563362121582,14.810750961303711
48,40000,65,155.26249289512634,211200,528,2112,1378.7747649950672,13.787747649950672,32.0,32.0,400.0,0.0,400.0,400,400,-2776.5678848697075,176.97457994514272,-2770.579966415342,-3242.5592028719766,-2507.0052964419383,400.0,0.0,400.0,400,400,-596.4554681429327,18.887856412429205,-590.3329584866588,-657.9879044623028,-567.2024918125816,5793.921409606934,208.72497332367172,5779.52392578125,5490.20166015625,6113.98388671875,5398654.692056812,96677.05354980945,5393429.579898537,5256917.441565779,5550108.388375131,2.6414827443659306,0.002870800020901059,2.6409881114959717,2.6370890140533447,2.6462674140930176,14.055328528086344,0.03761972402639279,14.050919532775879,13.994170188903809,14.119772911071777
48,40000,71,169.4052219390869,230400,576,2304,1357.5880539264842,13.575880539264842,32.0,32.0,400.0,0.0,400.0,400,400,-2754.212767185799,170.20615086424178,-2713.3189366290335,-3359.2933815955307,-2523.036738424117,400.0,0.0,400.0,400,400,-595.3126568823811,19.76065156218766,-589.2408377118394,-709.1607382782254,-574.6898777192658,5556.97683207194,317.0042567306064,5519.21728515625,5115.0048828125,6208.58544921875,5283796.330400412,140916.11056057207,5264316.63676526,5079420.944432744,5573452.568525093,2.63953218733271,0.0055965559477124185,2.640398383140564,2.625880241394043,2.6482350826263428,14.022712647914886,0.07793383349603934,14.032324314117432,13.848833084106445,14.147719383239746
48,40000,77,183.51436710357666,249600,624,2496,1360.8195093437018,13.608195093437018,32.0,32.0,400.0,0.0,400.0,400,400,-2739.7314412647993,172.99944024129832,-2703.4631988793512,-3359.2933815955307,-2506.4767658353962,400.0,0.0,400.0,400,400,-595.1275265622767,23.602832082754933,-588.6729657921862,-709.1607382782254,-566.8221824039257,5475.201838175456,288.36308187337903,5322.591552734375,5165.376953125,6038.22607421875,5239838.92933678,134037.83206113186,5169253.72274141,5093419.301329383,5505716.639544775,2.594822986672322,0.020746918318756115,2.5918599367141724,2.5617423057556152,2.6254541873931885,13.45446660121282,0.2712332192130719,13.404138088226318,13.024646759033203,13.84372329711914
48,40000,83,197.74198865890503,268800,672,2688,1349.487679675415,13.49487679675415,32.0,32.0,400.0,0.0,400.0,400,400,-2726.347459586395,171.06548637416662,-2661.86479290645,-3350.2435236805654,-2506.4767658353962,400.0,0.0,400.0,400,400,-593.1596720421121,22.707223202002798,-586.7019741929693,-706.2037157245779,-566.8221824039257,5357.459749857585,304.97206313479575,5403.499755859375,4816.076171875,5874.3681640625,5173836.158222052,139381.56056995183,5189629.1504525365,4923188.370049914,5406449.985037885,2.541079204529524,0.00855656188644249,2.5365867614746094,2.5347414016723633,2.5615270137786865,12.739380444089571,0.12000498328720466,12.674202919006348,12.639007568359375,13.021805763244629
