NewCompletedTrajs,StepsInTrajWindow,Iteration,CumTime (s),CumSteps,CumCompletedTrajs,CumUpdates,StepsPerSecond,UpdatesPerSecond,ReplayRatio,CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
48,19200,5,18.054020166397095,19200,48,192,1063.4750500465182,10.634750500465183,32.0,32.0,400.0,0.0,400.0,400,400,-2098.445077426097,12.24976696967589,-2099.596301796384,-2121.105469898799,-2067.9469156261866,400.0,0.0,400.0,400,400,-485.21929354289045,6.861436490774094,-485.1542572069309,-497.2217500589254,-466.1210024595385,3631.9162419637046,52.14774966665264,3628.77001953125,3522.70654296875,3732.2900390625,3038923.125648324,913931.9533134912,3304487.351816858,1478605.9968639375,4099563.09262756,16.9770445227623,0.027292484481975948,16.973026275634766,16.923358917236328,17.027284622192383,23627304.28125,633514.284496464,23516690.0,22412520.0,24822536.0
48,38400,11,36.67932605743408,38400,96,384,1030.855552779918,10.308555527799182,32.0,32.0,400.0,0.0,400.0,400,400,-2105.6612013004965,84.67406057799364,-2098.6089554384707,-2919.956456948032,-2019.046907885472,400.0,0.0,400.0,400,400,-486.5177161353943,16.466034522606847,-485.5314748571084,-628.4433783583627,-444.49459197212377,3638.776381174723,195.19023477374046,3559.0316162109375,3493.412109375,4102.61328125,4131095.340545216,172826.7041378882,4190735.86744726,3721842.272826103,4258062.547427609,16.883748928705852,0.024440203520411187,16.86864948272705,16.858423233032227,16.922195434570312,21526237.1875,539208.7681947022,21187828.0,20976184.0,22387820.0
48,40000,17,55.18248677253723,57600,144,576,1037.660554087284,10.37660554087284,32.0,32.0,400.0,0.0,400.0,400,400,-2118.7887137412613,181.3124310303131,-2091.583843997345,-3670.5489055041558,-2019.046907885472,400.0,0.0,400.0,400,400,-487.45088650929995,29.24645116438618,-484.73738033460165,-727.2155114983465,-444.49459197212377,3671.395829518636,395.05134163639184,3464.4969482421875,3400.79248046875,4565.84423828125,4032546.133862971,311321.32179415197,4198857.314667893,3256738.3375362298,4225158.209392749,16.841413617134094,0.026763785741739838,16.84233856201172,16.794553756713867,16.87646484375,20631264.520833332,553678.7118409877,20639646.0,19693956.0,21370552.0
48,40000,23,73.17201495170593,76800,192,768,1067.2875802397634,10.672875802397634,32.0,32.0,400.0,0.0,400.0,400,400,-2128.0326862514053,228.8275178311027,-2087.7750288820816,-3672.7178034944045,-2056.5353106676116,400.0,0.0,400.0,400,400,-487.0188762572207,35.235366982993334,-482.6319663266577,-727.2155114983465,-455.0477129491626,3622.5687154134116,367.2780578783131,3401.4632568359375,3348.9580078125,4493.75146484375,4611946.026526391,1152137.113862641,4178427.7254437436,4150519.612057461,11591167.47459987,16.74247815211614,0.03808057819619073,16.75786018371582,16.6748046875,16.793577194213867,18714585.8125,691871.2344045723,18970139.0,17491086.0,19675746.0
48,40000,29,91.48819303512573,96000,240,960,1048.2536210641158,10.482536210641157,32.0,32.0,400.0,0.0,400.0,400,400,-2121.115882927499,195.67477265992255,-2086.0419806101618,-3672.7178034944045,-2035.8842938537466,400.0,0.0,400.0,400,400,-485.03872024278127,27.961757560919263,-482.4512438356485,-727.0941426246613,-455.0477129491626,3481.488126118978,352.59080057034544,3333.7764892578125,3261.48486328125,4322.2314453125,4309797.711417298,517670.00187095377,4141123.4585254313,4094285.396479587,7172481.161648392,16.625473250945408,0.03322491212643199,16.643513679504395,16.552152633666992,16.673826217651367,16639085.151041666,546059.6089626963,16921405.0,15453556.0,17473240.0
48,40000,35,109.76264882087708,115200,288,1152,1050.6468824625852,10.506468824625852,32.0,32.0,400.0,0.0,400.0,400,400,-2095.3813881862384,111.34600197188068,-2083.138507182781,-2891.01670960201,-1965.3144265534447,400.0,0.0,400.0,400,400,-481.73264160003157,14.55203061992157,-482.28123395377656,-579.6006196471482,-430.8940719264165,3259.4700813293457,36.02871369000708,3253.289306640625,3200.7138671875,3326.857666015625,4090991.1823577024,24888.525371944626,4088342.7001955137,4050372.8619308975,4136656.2164539276,16.47759899497032,0.041622187270636234,16.487350463867188,16.418249130249023,16.5509033203125,14354085.369791666,606825.9033374535,14482673.5,13500813.0,15433970.0
48,40000,41,127.96884822845459,134400,336,1344,1054.58583475741,10.545858347574102,32.0,32.0,400.0,0.0,400.0,400,400,-2083.9015239244486,42.3349099462201,-2083.128068346312,-2469.403918032872,-1965.3144265534447,400.0,0.0,400.0,400,400,-481.0198127746745,8.686220952379912,-482.7002926259285,-496.2045009757378,-430.8940719264165,3257.4432169596353,93.61020403726783,3222.5513916015625,3167.978271484375,3486.713134765625,4078876.4748973777,43406.27764238423,4064977.326228328,4027298.08026263,4186801.035527307,16.354533205429714,0.04764694205676397,16.360605239868164,16.251218795776367,16.417402267456055,12691329.739583334,591213.8630799798,12751171.5,11448315.0,13489633.0
48,40000,47,146.8043282032013,153600,384,1536,1019.352839733419,10.19352839733419,32.0,32.0,400.0,0.0,400.0,400,400,-2084.1537038897523,50.76561119749749,-2080.7750583624397,-2469.403918032872,-1866.4782443220397,400.0,0.0,400.0,400,400,-481.430775059735,11.288479807608306,-482.87935227298465,-496.2045009757378,-390.3609132438583,3154.7453015645347,55.36532500264819,3146.1610107421875,3053.5087890625,3263.859619140625,4014048.5364418174,32461.505941327152,4012793.4635890387,3945527.626941313,4086942.995271955,16.19750765959422,0.041384839800722065,16.21462345123291,16.129413604736328,16.250120162963867,10845921.770833334,451964.1539745225,11022048.5,10114295.0,11436358.0
48,40000,53,165.24960613250732,172800,432,1728,1040.9168174958677,10.409168174958676,32.0,32.0,400.0,0.0,400.0,400,400,-2092.0463805374147,168.06675762225942,-2077.691014290829,-3729.6290742298024,-1866.4782443220397,400.0,0.0,400.0,400,400,-482.7877797644931,30.86068435386947,-481.076553831777,-764.0429567044669,-390.3609132438583,3221.3260332743325,313.08433792834086,3087.5164794921875,3044.171142578125,4141.06689453125,5236348.375911559,4807122.608853083,3970585.045076229,3939310.981985079,28230015.261296168,16.027808050314587,0.0646466491267805,16.03187370300293,15.9312744140625,16.1323299407959,9156210.6953125,590395.8726407886,9173972.5,8295995.0,10146498.0
48,40000,59,184.70834350585938,192000,480,1920,986.703280465341,9.867032804653409,32.0,32.0,400.0,0.0,400.0,400,400,-2090.107513857448,167.0495124525965,-2073.079622719121,-3729.6290742298024,-1999.358645423492,400.0,0.0,400.0,400,400,-481.6907256933176,29.77126301850824,-479.9142469510251,-764.0429567044669,-435.6755987109351,3023.1708017985025,27.249860950245147,3020.211181640625,2970.170654296875,3086.91943359375,3926638.4026440573,53500.83624988992,3920244.444893702,3880833.1461279946,4569756.756373434,15.838628550370535,0.06104840268479974,15.822787284851074,15.74340534210205,15.944299697875977,7603998.286458333,449697.07689369994,7478035.25,6923654.0,8404735.0
