NewCompletedTrajs,StepsInTrajWindow,Iteration,CumTime (s),CumSteps,CumCompletedTrajs,CumUpdates,StepsPerSecond,UpdatesPerSecond,ReplayRatio,CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
24,19200,5,20.1021990776062,19200,24,192,955.1193839975822,9.551193839975822,32.0,32.0,800.0,0.0,800.0,800,800,5250.985294720619,3946.609699966383,5816.485734235277,400.8583136338564,11446.676735278501,391.5416666666667,270.05955811738187,538.0,27,722,861.956156138035,340.17109383752586,834.195087357858,248.30334083035387,1345.9214965643212,12749.525995890299,3035.6315594970765,11824.1953125,8262.115234375,17776.546875,3720426.1812549536,1545038.1225933891,2894416.619230276,2135451.899746597,6840056.856840236,16.972639739513397,0.042829477203323814,16.967894554138184,16.9228515625,17.039974212646484,23528864.28125,1012680.3609688209,23396423.0,22364816.0,25140992.0
24,38400,11,40.074299335479736,38400,48,384,961.3410583812209,9.61341058381221,32.0,32.0,800.0,0.0,800.0,800,800,5530.404959910115,3617.2652183048644,5966.01278609201,400.8583136338564,11712.812797020179,430.5625,252.90989059429182,552.5,27,741,883.6443317354237,301.72416381843334,855.5141973858924,248.30334083035387,1345.9214965643212,14052.801956176758,2629.5467327238907,14053.75390625,10068.732421875,18085.966796875,5835395.275342637,1083115.0161916493,5781819.764767803,4196454.319723327,7449870.048473184,16.905843367179234,0.016737445320414216,16.90849018096924,16.877599716186523,16.930400848388672,22027947.958333332,356419.8008188494,22087528.0,21420318.0,22545080.0
24,57600,17,59.901740074157715,57600,72,576,968.3549305758856,9.683549305758856,32.0,32.0,800.0,0.0,800.0,800,800,6058.283945535769,3788.9047343325014,6252.055618275599,400.8583136338564,11939.428873881476,453.0416666666667,254.60685584183838,566.5,27,741,951.8875721744015,321.21523872436217,1044.3333970255867,248.30334083035387,1407.5324649261895,17655.799853007,5206.357192817736,19186.576171875,8077.45556640625,24808.2265625,7298375.523179579,2106152.186709775,7999798.276183683,3384550.4330817536,10106183.395360736,16.843789140383404,0.022811070576505346,16.83607769012451,16.796825408935547,16.887065887451172,20730673.96875,491455.9202012457,20559740.0,19747768.0,21664256.0
24,76800,23,79.63682746887207,76800,96,768,972.886494799224,9.72886494799224,32.0,32.0,800.0,0.0,800.0,800,800,6227.630615452043,5306.6562625739625,6780.445747218719,-30388.16235261795,12083.971389449358,487.4583333333333,243.9312111311074,584.5,27,741,993.9953253643225,352.18888285220294,1095.126231370391,-555.1224363200756,1475.4165074921887,41147.7783610026,28783.690264157678,25234.2626953125,16271.8408203125,94162.28125,9557366.736580385,1690815.9792086591,9608473.71112845,6748583.032380731,11626663.217496062,16.777065972487133,0.0068199581285011005,16.776551246643066,16.766271591186523,16.795774459838867,19398107.0625,117858.3826128676,19401504.0,19217178.0,19726174.0
24,80000,29,99.94673109054565,96000,120,960,945.3516056822073,9.453516056822073,32.0,32.0,800.0,0.0,800.0,800,800,6414.917450431589,5064.6182597271845,6729.422285771025,-30388.16235261795,12083.971389449358,507.18,225.0555655832577,588.0,31,741,1036.206159067616,318.21514186970415,1125.3304409244065,-555.1224363200756,1475.4165074921887,14368.433624267578,3685.7541878199895,14013.14501953125,9316.671875,19349.201171875,5878106.29460935,1538530.366964688,5746532.410082789,3802404.9225978917,8038895.287085497,16.76293487350146,0.022163945984422697,16.77454376220703,16.710613250732422,16.785762786865234,19213128.291666668,481105.36089738866,19438146.0,18102252.0,19719518.0
24,80000,35,119.87088537216187,115200,144,1152,963.6544532138872,9.636544532138872,32.0,32.0,800.0,0.0,800.0,800,800,6049.017293132414,6485.24129433308,6888.419703792534,-33505.27980528286,12213.461426559294,501.77,231.92541279471726,590.0,9,735,1033.0475683122147,393.9030747290235,1141.9095691281327,-1306.1537917421533,1475.4165074921887,37583.52754211426,30945.397052168966,19327.48828125,11949.587890625,89675.3671875,7344138.264948137,1773561.2492797384,7322406.92800325,4839545.347595916,9838866.16255706,16.68593144416809,0.010710964323169316,16.682722091674805,16.670289993286133,16.70985984802246,17649758.114583332,190350.26138238172,17591266.0,17386032.0,18086540.0
24,80000,41,139.0838108062744,134400,168,1344,999.3272531995779,9.993272531995778,32.0,32.0,800.0,0.0,800.0,800,800,5129.890923366373,7438.9696490859415,6375.95893852966,-33505.27980528286,12213.461426559294,465.31,246.59147166923677,583.0,9,735,972.9264433949836,447.9368904550023,1061.2159169904662,-1306.1537917421533,1475.4165074921887,31322.29652150472,32804.27753694006,13813.65771484375,4315.39111328125,91447.640625,5280246.243399967,2859955.0010965476,5550686.799566833,1579413.0349311375,8672985.039924456,16.675210158030193,0.013645442244391133,16.677730560302734,16.622201919555664,16.690099716186523,17553127.692708332,241254.7039523149,17543858.0,16724070.0,17967984.0
24,80000,47,158.11945176124573,153600,192,1536,1008.634279529514,10.08634279529514,32.0,32.0,800.0,0.0,800.0,800,800,4611.13266729608,6331.248224957653,6041.29031659465,-33505.27980528286,12213.461426559294,413.35,253.328536687046,557.0,9,735,915.4323575401901,415.24209896942796,970.9168345720333,-1306.1537917421533,1443.3117676748723,11854.807034810385,4713.677455326114,11506.40283203125,5359.568359375,20033.8515625,4782074.564377055,2003662.8398784376,4702121.240417687,2004529.939712622,8233551.720034093,16.561076472202938,0.04894103325805085,16.597543716430664,16.49524688720703,16.621112823486328,15908594.182291666,750914.2131999715,16405389.0,14874048.0,16707026.0
24,80000,53,177.5941834449768,172800,216,1728,985.8929155896619,9.85892915589662,32.0,32.0,800.0,0.0,800.0,800,800,4731.250292429232,6313.401442839012,6025.819277216004,-33505.27980528286,12346.946546231902,423.64,246.7868926827355,562.0,9,741,924.2813590074151,414.5856002515353,993.141321927176,-1306.1537917421533,1443.3117676748723,16783.63210550944,4652.605863584111,15713.1240234375,11700.8671875,24234.53515625,6771223.322942602,1855146.1743701864,6390908.0219457075,4752472.633181482,9639405.564722456,16.480577389399212,0.008964219548067294,16.478923797607422,16.463682174682617,16.49853515625,15004619.625,110046.53663315863,15022698.0,14792426.0,15208881.0
24,80000,59,197.07244277000427,192000,240,1920,985.7143638769645,9.857143638769644,32.0,32.0,800.0,0.0,800.0,800,800,4930.174773214365,4954.040481186248,5922.6728164406395,-31244.4257781373,12346.946546231902,413.71,247.3779818415536,527.0,11,741,929.0338089324614,352.87289520908325,964.7629266246267,-846.2135042692059,1443.3117676748723,12679.082234700521,3952.8656087803897,13049.53369140625,5751.689453125,18689.146484375,4985090.917672634,1660708.6532323018,5129933.47175711,2076107.514954208,7474485.015493654,16.459794223308563,0.01294454619379446,16.461822509765625,16.439876556396484,16.483884811401367,14613872.166666666,223788.5572367999,14605403.5,14273304.0,15034289.0
24,80000,65,216.91835522651672,211200,264,2112,967.4536276461054,9.674536276461053,32.0,32.0,800.0,0.0,800.0,800,800,5712.828803843839,3403.6035348773485,6238.8090020804875,119.3786009453946,12488.715996659725,436.53,237.3669081822485,532.0,11,741,989.0946779953952,299.00662742633364,1043.5723609611111,73.54499041403588,1427.2966940387885,15837.61732228597,5435.962104506329,16887.166015625,6874.22607421875,23596.53515625,6374850.367590122,2284137.23607156,6754345.767859478,2613411.944766678,9673258.312107375,16.43973660469055,0.017439396351537226,16.442312240600586,16.40190315246582,16.461084365844727,14380891.427083334,253072.71864501733,14427590.0,13848151.0,14688648.0
24,80000,71,236.61318230628967,230400,288,2304,974.8752767531963,9.748752767531963,32.0,32.0,800.0,0.0,800.0,800,800,5927.734075793158,3521.908311696989,6251.375644271777,100.31589757957869,12488.715996659725,449.65,237.38931631394027,553.0,10,741,990.9625233935648,326.806667571495,1062.829570403485,73.54499041403588,1447.1335585355946,13390.925305684408,5362.272925130095,12575.47900390625,5640.3583984375,22152.189453125,5319549.980888252,2173159.5478620017,5040434.542455144,2043648.2030317264,8862810.614117378,16.330973515907925,0.02197006371296763,16.325180053710938,16.30596351623535,16.40137481689453,12627515.619791666,412879.12880012,12521603.0,12153492.0,13840036.0
24,80000,77,255.6341245174408,249600,312,2496,1009.4137181460918,10.094137181460917,32.0,32.0,800.0,0.0,800.0,800,800,5320.117771510755,5456.652978883662,6251.375644271777,-34129.04121791072,12488.715996659725,435.92,256.68590456041795,569.5,10,741,926.9655657697728,411.21582168443484,956.8813408806395,-1392.6962388646302,1447.1335585355946,36260.263763427734,36647.43334015447,12835.98681640625,7623.31298828125,97291.3671875,6839771.647137771,3601961.616062661,5280498.6217675125,3045429.573273693,16163309.210153807,16.22938858469327,0.04090575326738812,16.223387718200684,16.181669235229492,16.305261611938477,11256237.59375,468185.9635014742,11173023.5,10714501.0,12144116.0
24,80000,83,274.67463183403015,268800,336,2688,1008.3764933758715,10.083764933758715,32.0,32.0,800.0,0.0,800.0,800,800,5194.202509271138,5513.6822519344905,6188.722156363139,-34129.04121791072,12639.37651705473,421.24,261.81241834565446,530.0,10,749,920.3604309493497,412.44376085238144,956.8813408806395,-1392.6962388646302,1447.1335585355946,12507.724370320639,3624.4973719774034,13293.01806640625,7663.93359375,16360.791015625,5125925.297288322,1473045.1358193243,5422974.227918306,3116477.249579928,6720047.637894056,16.14569126566251,0.03255010709278078,16.131999015808105,16.08453941345215,16.19947052001953,10371927.286458334,342308.0391677518,10233698.5,9736682.0,10936882.0
24,79203,89,294.3539206981659,288000,360,2880,975.645010983643,9.75645010983643,32.0,32.0,792.03,79.30049873739762,800.0,3,800,5071.432306302451,5635.730368305013,6175.885292228015,-34129.04121791072,12639.37651705473,406.98,272.93222528679166,557.0,0,749,906.4222019403097,424.8890001480926,940.7077133708203,-1392.6962388646302,1498.5496302291663,13593.729164123535,5342.872357151279,14091.16943359375,5872.15478515625,22216.5625,5580443.803864556,2144196.700044471,5759796.182723847,2463717.6047974704,9052597.710260732,16.060912564396858,0.02973353501428278,16.08034610748291,15.996545791625977,16.087604522705078,9546781.223958334,249604.97141610007,9701157.5,8987366.0,9774712.0
