NewCompletedTrajs,StepsInTrajWindow,Iteration,CumTime (s),CumSteps,CumCompletedTrajs,CumUpdates,StepsPerSecond,UpdatesPerSecond,ReplayRatio,CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
24,19200,5,32.93591237068176,19200,24,192,582.9503000831115,5.8295030008311155,32.0,32.0,800.0,0.0,800.0,800,800,-127.44454015667345,18.233102156074708,-126.32783005981493,-170.3432185581001,-93.2198893102768,570.9166666666666,34.89498133288256,569.5,493,652,-16.08268878980026,3.0775655564439237,-16.080985670891053,-26.426012001305565,-12.615767408659632,4.416286700715621,1.0058587975478384,4.115306854248047,2.9398863315582275,7.2618513107299805,36653.69723638331,11914.458518496782,34371.45531510885,21692.39594430135,72435.28113805932,17.011786152919132,0.01230165842897409,17.013580322265625,16.992433547973633,17.028545379638672,24445090.385416668,300848.51100297243,24486991.0,23974118.0,24856638.0
24,38400,11,67.24732542037964,38400,48,384,559.5805679057879,5.595805679057879,32.0,32.0,800.0,0.0,800.0,800,800,-113.48443694816099,20.796452192791723,-110.7305303502143,-170.3432185581001,-69.25202148802914,559.4375,34.52167570889339,558.5,477,652,-13.634828675546231,3.767429627933223,-13.415401043258907,-26.426012001305565,-5.973031229670553,2.2111199280867972,0.2799713973216628,2.248953700065613,1.594772458076477,2.912552833557129,22192.773845559932,13843.336483374997,17166.63205255111,7556.1010546915295,61592.67692052014,16.939775715271633,0.04377754198283575,16.93664264678955,16.871788024902344,17.006196975708008,22796835.791666668,983296.745839071,22719564.0,21285656.0,24310118.0
24,57600,17,100.26664972305298,57600,72,576,581.4776772535442,5.814776772535443,32.0,32.0,800.0,0.0,800.0,800,800,-101.23681863540781,25.054964644112,-96.55686087849745,-170.3432185581001,-62.66254659058681,556.8472222222222,31.090218058910704,557.0,477,652,-12.208340068019702,3.888726687130392,-11.696419555609967,-26.426012001305565,-5.973031229670553,1.3907627907271187,0.30168475566703123,1.3366517424583435,0.8712847828865051,2.022953987121582,12822.408135550024,7766.831697219399,11179.19233547761,3161.4760366450355,41579.72852032138,16.829965074857075,0.03385525188817778,16.82529067993164,16.7801513671875,16.882810592651367,20409024.145833332,699746.9934916801,20317658.0,19387948.0,21504156.0
24,76800,23,131.56254768371582,76800,96,768,613.4989328036954,6.134989328036954,32.0,32.0,800.0,0.0,800.0,800,800,-94.12817279979036,27.07974580951194,-91.8910275656996,-170.3432185581001,-54.0737170952644,558.3854166666666,30.317888624700142,558.0,477,652,-11.863124048928226,7.168148786653545,-10.228604273280155,-70.75017844927127,-5.222028349351138,1.587802310474217,1.3742891110238311,1.0114147067070007,0.7126308679580688,5.92900276184082,16566.84955512635,15329.43731483552,9828.379899841166,2736.181639285267,82571.97264494977,16.71984812617302,0.03528803279605049,16.72630023956299,16.664146423339844,16.779626846313477,18266421.322916668,639948.2514082192,18371680.0,17271206.0,19377474.0
24,80000,29,160.9232349395752,96000,120,960,653.9356464201411,6.539356464201411,32.0,32.0,800.0,0.0,800.0,800,800,-79.81424863140285,22.77977906667773,-72.53590130693468,-170.3432185581001,-46.76269259902536,555.92,28.837017876333885,555.0,477,638,-10.020449258356537,6.760506935142397,-8.778024613623455,-70.75017844927127,-5.199708881457537,0.6362875864530603,0.12945669658182501,0.5893177390098572,0.5151028633117676,0.9703848958015442,9311.12643255534,7052.127110016903,6722.69597293749,2299.743120309545,37444.53303785456,16.63742967446645,0.03738230455748101,16.65727424621582,16.550935745239258,16.676118850708008,16823958.78125,622629.2987798583,17145927.0,15416392.0,17480122.0
24,80000,35,190.06832313537598,115200,144,1152,658.773096551011,6.587730965510111,32.0,32.0,800.0,0.0,800.0,800,800,-68.34085166294,16.50908018213238,-65.3151182504819,-151.8610610556008,-46.35067706297094,552.03,27.624791401927364,551.0,490,638,-9.980319600226697,8.249718855872946,-8.31505631182566,-70.75017844927127,-5.199708881457537,0.875786021972696,0.6137271559839382,0.5137758851051331,0.3525627553462982,2.024982452392578,12119.855329042031,9470.380774418902,9286.85018768476,2158.9876776350525,51060.64871855566,16.480593542257946,0.03935340513577837,16.472405433654785,16.399141311645508,16.549524307250977,14382596.651041666,563112.7519717484,14252851.0,13264297.0,15394447.0
24,80000,41,219.07562041282654,134400,168,1344,661.9024108435475,6.619024108435475,32.0,32.0,800.0,0.0,800.0,800,800,-59.868996264775596,16.637765634066742,-57.89629961574673,-151.8610610556008,-34.617783333347745,538.0,40.13203209407667,543.0,441,638,-9.12580069457256,8.36257816371091,-7.310161913476679,-70.75017844927127,-4.192125881241769,0.32213814634208876,0.0629319698814606,0.3174706846475601,0.2141193449497223,0.4574982225894928,7690.276546291109,6941.097251510924,4878.765599892493,1659.0027579514897,35985.08716913843,16.305126428604126,0.04812832353217869,16.30787467956543,16.215576171875,16.39772605895996,12108826.479166666,564491.226667928,12119646.5,11083433.0,13245939.0
24,80000,47,252.30989027023315,153600,192,1536,577.7169193840758,5.777169193840758,32.0,32.0,800.0,0.0,800.0,800,800,-51.75703722534481,11.9008924036683,-49.99015797066127,-87.42693229905889,-29.889880440407804,514.85,45.59394148349099,515.5,414,621,-7.9734169295151185,5.941439601412093,-6.692916616165715,-43.92652399159715,-3.7184407507677855,0.3340765229271104,0.15915570608923726,0.27034659683704376,0.2147991955280304,0.7298489212989807,5898.99721288172,4542.24450300659,4187.708006616855,1552.9675988001852,24507.2450147744,16.15139749646187,0.04643142836295631,16.159403800964355,16.071046829223633,16.21424102783203,10377795.078125,489378.3566449901,10441220.0,9562169.0,11069559.0
24,80000,53,280.9038920402527,172800,216,1728,671.4694974989815,6.714694974989814,32.0,32.0,800.0,0.0,800.0,800,800,-48.09323140884365,25.16935856439069,-43.70586973831274,-267.5957198711435,-29.889880440407804,483.98,53.07126906340191,489.0,368,607,-8.693137990328191,14.945230631995404,-6.231820324241365,-145.49815846799646,-3.408597930347951,2.8428680015883097,5.870062446817211,0.2256818264722824,0.17360155284404755,17.90391731262207,14170.547184822943,19843.11484580071,5729.474816240407,1354.5092548955574,131005.47786073096,15.997417713205019,0.036436000692260884,15.991445541381836,15.935376167297363,16.070261001586914,8896369.0703125,320447.593113436,8838384.0,8369828.0,9554929.0
24,80000,59,310.76166462898254,192000,240,1920,643.0486381039439,6.430486381039438,32.0,32.0,800.0,0.0,800.0,800,800,-41.52969711934738,23.801551843958705,-38.81072760264665,-267.5957198711435,-24.759396160537065,453.02,45.79912226233162,454.0,360,592,-7.195451275396959,14.135982711614044,-5.256511953369897,-145.49815846799646,-2.4159817577461316,0.20390263098912934,0.07497492106936036,0.1881747916340828,0.10155019909143448,0.37215596437454224,5093.3524430857515,3519.246984673513,4003.74050987182,1268.198540440879,23811.195482605563,15.81927502155304,0.0661427909322084,15.829012393951416,15.709951400756836,15.933850288391113,7451106.065104167,502778.4645964676,7510421.0,6653503.5,8357059.0
24,80000,65,344.0155825614929,211200,264,2112,577.3755753823312,5.773755753823312,32.0,32.0,800.0,0.0,800.0,800,800,-38.79979312335208,24.661810098584898,-35.494376364946646,-267.5957198711435,-24.759396160537065,426.17,49.25668584060442,425.5,321,610,-7.371892841047855,14.41945391050035,-5.157980805768931,-145.49815846799646,-2.4159817577461316,0.28700667518811923,0.16387359929718673,0.27920255064964294,0.07261168956756592,0.5955454707145691,6911.664529258699,5553.635401761718,4793.134530329335,1650.998597296946,36949.95769585475,15.653704519073168,0.034345612443625176,15.650425434112549,15.580251693725586,15.708443641662598,6305901.822916667,206169.13707453205,6279906.0,5878253.0,6643713.5
24,80000,71,375.87772154808044,230400,288,2304,602.5960783135841,6.025960783135842,32.0,32.0,800.0,0.0,800.0,800,800,-34.87568451470966,25.006345779292353,-31.065093941228497,-267.5957198711435,-19.29284568766572,390.8,57.07241014711049,385.5,253,610,-6.980991255337569,14.345140221342925,-5.053531747026571,-145.49815846799646,-2.4159817577461316,0.13068959206187478,0.06012363981505872,0.13021666929125786,0.051887396723032,0.23987512290477753,4708.797681116764,3041.7251734665156,3683.694421722519,1234.9372167465197,16649.347963356497,15.55416725575924,0.022592813661227937,15.545043468475342,15.5077486038208,15.5984468460083,5741055.309895833,127173.44408406239,5687270.75,5504808.5,6002987.5
24,80000,77,409.38798332214355,249600,312,2496,572.9588186882136,5.729588186882136,32.0,32.0,800.0,0.0,800.0,800,800,-32.26579105966616,25.578804464340713,-28.090610175219666,-267.5957198711435,-17.214693895608615,361.32,61.62075624333087,362.0,253,610,-6.858055874626903,14.367953741862964,-4.91350048839867,-145.49815846799646,-2.4159817577461316,0.1140084217962188,0.05424038004051429,0.12926869839429855,0.02141842246055603,0.19858163595199585,3664.632887047633,1829.9052946522318,3265.6093491274287,1340.373005950046,11590.731578942945,15.446195910374323,0.03994333131362248,15.452513694763184,15.365213394165039,15.506464004516602,5200463.822916667,196721.1618236184,5236682.5,4795066.0,5497997.0
24,80000,83,443.1726083755493,268800,336,2688,568.3058482859938,5.683058482859938,32.0,32.0,800.0,0.0,800.0,800,800,-27.071431237120663,9.748267503550371,-25.81092950204516,-97.06496966709346,-15.42383014498074,325.7,59.55426097266257,318.0,224,610,-5.307999819036163,3.533541603888897,-4.732995757230148,-30.46180524783731,-2.7063235994794193,0.09880938234224838,0.06654840923382137,0.08493892475962639,0.004855165258049965,0.2256225347518921,3634.1712176807573,1955.3842721488106,3039.2143762962946,1448.8127083245365,11647.375994192518,15.332355643312136,0.025865352008104813,15.33679485321045,15.246329307556152,15.36478042602539,4621193.075520833,129855.96819280148,4637188.25,4218071.5,4792767.0
