NewCompletedTrajs,StepsInTrajWindow,Iteration,CumTime (s),CumSteps,CumCompletedTrajs,CumUpdates,StepsPerSecond,UpdatesPerSecond,ReplayRatio,CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
24,19200,5,34.42900562286377,19200,24,192,557.6693155276485,5.576693155276485,32.0,32.0,800.0,0.0,800.0,800,800,-527.8061599716053,2223.6002788991073,-59.27241062566969,-11191.097702986011,-10.979146308504646,686.2916666666666,85.98085017736346,735.5,495,786,-17.25522027687395,54.6143639079007,-5.498840787835242,-275.7721639572122,8.767733820782391,2754.105800078561,5438.760440201529,5.543764114379883,2.034843683242798,14960.630859375,694084.3308662722,1366144.0709894386,20445.038552434562,5367.6481404127,4992444.720196573,17.033497184515,0.010211623140892977,17.0296049118042,17.015666961669922,17.050460815429688,24982345.458333332,254870.67053376618,24886395.0,24538000.0,25404518.0
24,38400,11,67.8675217628479,38400,48,384,574.1881583388082,5.741881583388081,32.0,32.0,800.0,0.0,800.0,800,800,-297.0381789383466,1589.261396811955,-62.4794017084825,-11191.097702986011,-6.859492624036216,690.6666666666666,81.43896828641407,736.5,495,786,-12.188063236459271,39.780003739648166,-5.954878193241814,-275.7721639572122,14.569882619388512,4.136941617975633,2.3330301596177234,3.726731777191162,1.6311705112457275,8.716239929199219,29719.801842927856,14719.186902125979,26401.0225478742,8280.054984546274,70386.36582788592,16.94912404815356,0.046489803723994735,16.938759803771973,16.8857421875,17.05063819885254,23009502.90625,1063153.5250593864,22721133.0,21631004.0,25410174.0
24,57600,17,101.0973572731018,57600,72,576,577.7940126750057,5.777940126750057,32.0,32.0,800.0,0.0,800.0,800,800,-218.68228096113242,1302.4058913997267,-61.58278021081381,-11191.097702986011,-6.859492624036216,679.9722222222222,90.89278974921532,731.0,399,786,-9.942193705826627,33.94396885686785,-4.069723757472474,-275.7721639572122,14.569882619388512,3.8518449931095042,2.1452057585206203,4.069068789482117,1.1453380584716797,6.703752040863037,19753.054478412196,9497.815997434342,21264.230834257476,4511.547527031152,36342.63291067417,16.81169703602791,0.042829257084259664,16.8245906829834,16.747209548950195,16.8848934173584,20075930.697916668,866812.9193931451,20305410.0,18795756.0,21612408.0
22,75200,23,133.87868809700012,76800,94,768,585.6992232299116,5.856992232299116,32.0,32.0,800.0,0.0,800.0,800,800,-182.31985590910114,1141.7881619815926,-62.750050941135555,-11191.097702986011,-6.859492624036216,675.4042553191489,85.59992532668947,703.0,399,786,-8.060676963264331,30.241061187103774,-3.173503734725944,-275.7721639572122,20.405377205029733,2.947269112492601,1.6693311550632368,2.9673142433166504,1.084104299545288,5.089242458343506,20918.69099969871,14677.471315907644,26563.613782636065,2662.435220177326,48182.85775755843,16.66761615872383,0.04323795124076928,16.66549301147461,16.604890823364258,16.746919631958008,17366459.270833332,762597.0231900207,17314275.0,16293596.0,18789510.0
26,80000,29,165.9080352783203,96000,120,960,599.4502445306664,5.994502445306664,32.0,32.0,800.0,0.0,800.0,800,800,-63.103041779518946,22.406884583232333,-61.58278021081381,-138.1691509712987,-6.859492624036216,673.05,76.37033128119846,687.5,399,785,-4.146595155028831,13.448497055406143,-1.8237026806491166,-67.76953909385895,20.405377205029733,2.952412803967794,1.96104873217389,2.3546468019485474,1.0210802555084229,5.963624000549316,18790.272276245334,15147.796348061527,17740.766385024566,1940.2943052219637,39895.903736041706,16.58361729979515,0.02230935689951553,16.58519458770752,16.54997444152832,16.615434646606445,15986420.072916666,338032.88424746686,15999684.0,15480141.0,16483565.0
24,80000,35,198.1403567790985,115200,144,1152,595.6753688851251,5.956753688851251,32.0,32.0,800.0,0.0,800.0,800,800,-163.950116697648,1029.4008637016177,-59.652248095797304,-10404.177492533,-6.859492624036216,662.58,71.92595915245066,675.0,399,780,-4.632834386332255,30.785289739533944,0.808099873449625,-280.7779459433406,20.405377205029733,2929.7648430749155,5797.3906521363415,3.4993642568588257,0.9358909130096436,15870.953125,520179.13009845343,805486.3628029786,27666.3166836498,2350.691079195635,2126728.8740303214,16.4901549021403,0.045093464815074306,16.503215789794922,16.432327270507812,16.549718856811523,14609588.6875,671798.1397999577,14766779.5,13757609.0,15496396.0
24,80000,41,230.35099387168884,134400,168,1344,596.0763813770305,5.960763813770305,32.0,32.0,800.0,0.0,800.0,800,800,-159.5520856149752,1029.8077028922546,-54.774713102156774,-10404.177492533,-14.700075736357466,658.58,64.45978281067971,675.0,399,762,-2.1543748123424704,30.129337369095847,2.8587972309066165,-280.7779459433406,20.405377205029733,1.7690163323034842,0.49567336415577695,1.6365233063697815,1.1859605312347412,2.9604127407073975,22248.585753362346,12807.633427788782,19172.845854079747,8281.64893717709,86775.15044785074,16.336184461911518,0.048417668640171205,16.327086448669434,16.255287170410156,16.436159133911133,12572955.90625,606709.0138690884,12443832.5,11567768.0,13829509.0
24,80000,47,262.2514970302582,153600,192,1536,601.8713844280654,6.018713844280654,32.0,32.0,800.0,0.0,800.0,800,800,-155.89362803349593,1030.1481957204242,-47.68828238646508,-10404.177492533,-22.321010948640655,660.76,62.89421595027638,677.0,481,762,-0.3206536363604275,29.967253227189605,4.6917026705672304,-280.7779459433406,15.562301899054845,1.5785855079690616,0.4329652450007649,1.575336992740631,0.8520689606666565,2.339595317840576,19766.780535341346,12152.466248147048,16091.866301851387,5718.50501583107,87828.73774566065,16.173686057329178,0.04696229581997119,16.175272941589355,16.087900161743164,16.25391387939453,10680022.453125,507629.8886451766,10672231.0,9764337.0,11550899.0
24,80000,53,294.48019218444824,172800,216,1728,595.7423937935571,5.9574239379355705,32.0,32.0,800.0,0.0,800.0,800,800,-150.824620282571,1030.598566973392,-45.79870650955965,-10404.177492533,-20.98066155602133,646.1,77.27114597312506,670.0,435,762,1.4991834831781459,29.212985425159008,6.017137035757987,-280.7779459433406,16.84628404861802,1.5534338373690844,0.6893228515366886,1.4475730061531067,0.7715392112731934,3.015615224838257,17679.994393391513,10505.569235994233,14909.087224835876,5642.996596148377,73021.219972795,16.01891120771567,0.045259254206781535,16.026419639587402,15.945417404174805,16.087385177612305,9096681.088541666,419583.42258541024,9150697.5,8439910.0,9757951.0
24,80000,59,326.4956531524658,192000,240,1920,599.7102468454284,5.997102468454284,32.0,32.0,800.0,0.0,800.0,800,800,-42.233997583005745,14.239243309938738,-41.72764542833762,-84.14080447577322,-8.60341198652164,629.44,89.3512529291,664.5,435,762,5.497023495088091,6.29246252094748,6.39443919287376,-21.26255893858929,16.84628404861802,1.3589130838712056,0.6106952222641366,1.2630040645599365,0.6212495565414429,2.509491443634033,11604.769031392962,5592.753111954405,10196.371236584824,4808.317471362851,36167.70052877293,15.886105189720789,0.04364196129742889,15.903481006622314,15.805937767028809,15.944947242736816,7959123.619791667,340725.4066558021,8080586.75,7365606.0,8436396.0
24,80000,65,358.6119167804718,211200,264,2112,597.8279485555487,5.978279485555487,32.0,32.0,800.0,0.0,800.0,800,800,-38.92421847430771,14.790694886627778,-38.68628777681393,-84.14080447577322,-4.3863179089342745,621.74,95.6383416836574,645.5,387,767,6.371201835908318,6.549232922162952,7.300842082346739,-21.26255893858929,18.755366494996984,1.3125156871974468,0.440232150091006,1.2554866671562195,0.7926325798034668,2.1147987842559814,14119.641792398366,7413.396149880342,13042.253507132677,4034.12024191975,47417.951954398995,15.69028459986051,0.05899897675953369,15.686996936798096,15.607592582702637,15.805334091186523,6572368.75,399160.3961064223,6536734.75,6025629.5,7361920.0
24,80000,71,391.23467469215393,230400,288,2304,588.5461937945022,5.885461937945022,32.0,32.0,800.0,0.0,800.0,800,800,-34.543449752667186,14.926526926274695,-33.22305140024832,-80.1057848949208,-4.3863179089342745,598.47,100.41259432959593,604.0,387,767,6.998575668081352,7.247385280048608,8.094085841488912,-23.94001553894596,21.70971553507343,1.3547072981794674,0.7210403821542508,1.15659698843956,0.5707799196243286,2.790882110595703,14348.153693311093,7483.584732810694,13143.536275268689,4485.234007533127,42539.770057453534,15.547899097204208,0.05882884760307367,15.567086696624756,15.456867218017578,15.6115140914917,5691690.708333333,331447.49859739025,5783372.5,5182741.0,6060644.0
24,80000,77,423.7355446815491,249600,312,2496,590.7534169474496,5.907534169474496,32.0,32.0,800.0,0.0,800.0,800,800,-87.53655458077981,578.6684159639441,-30.305573980427862,-5843.4029112595545,4.43047746716821,587.7,105.55467777412805,602.5,315,767,7.568340914965807,9.384590526888823,8.97801981044687,-54.77324162480395,21.70971553507343,1122.065953625366,2365.3466197606235,1.6674093008041382,0.6708651185035706,6437.03125,276881.06478327693,480538.18110428605,20301.220360546846,4149.547513659266,1331601.9655102536,15.353827580809593,0.05148483288316121,15.338639259338379,15.302051544189453,15.455985069274902,4675037.9375,251744.37337891269,4594971.0,4425482.0,5178342.0
24,80000,83,455.5483908653259,268800,336,2688,603.5297781621045,6.035297781621045,32.0,32.0,800.0,0.0,800.0,800,800,-144.84165259433072,821.6190929987451,-26.606194789336968,-5946.911184731067,4.43047746716821,584.74,103.63982053245749,593.5,315,767,6.643222311780821,14.940091048212,9.076359880334394,-107.10301438987355,21.70971553507343,1689.8529797907297,3625.5029372893496,1.4964500069618225,0.6494932770729065,9813.8818359375,276156.5078421901,491042.75386296056,24425.583205574425,4456.740807935777,1362643.331965534,15.324902455012003,0.02802197212909852,15.333599090576172,15.258953094482422,15.353662490844727,4545181.71875,127885.80753170182,4581243.0,4248702.0,4682628.0
24,80000,89,487.97596740722656,288000,360,2880,592.0886494613962,5.9208864946139625,32.0,32.0,800.0,0.0,800.0,800,800,-140.5995290777763,822.2110194484985,-21.657069920205814,-5946.911184731067,4.43047746716821,572.14,101.79744790514151,581.5,315,739,7.636133802601264,14.838247365944504,9.837860288108697,-107.10301438987355,21.70971553507343,0.7393059356448551,0.2417099961351777,0.8473683595657349,0.3612475097179413,1.0838251113891602,12094.280188531518,7536.0167740844645,9747.131413639961,3689.7220025322636,49664.53801842454,15.178698723514875,0.04546815639460225,15.17626953125,15.113759994506836,15.25849723815918,3923458.1536458335,180538.77014660856,3907078.625,3672293.0,4246325.0
24,80000,95,520.1569864749908,307200,384,3072,596.6249844223433,5.966249844223434,32.0,32.0,800.0,0.0,800.0,800,800,-137.841313302298,822.6221517223944,-19.00594523132575,-5946.911184731067,4.43047746716821,566.43,100.4197445724694,577.5,315,744,8.171425179504674,15.443381215003496,10.50218179042672,-107.10301438987355,21.88540933597847,1.231661184380452,0.9548844617224339,0.8116067349910736,0.475203275680542,3.6573121547698975,14622.549508546248,10191.10538877379,11391.10012004752,3570.8719492261403,55503.635785469465,15.022827088832855,0.061303127868430556,15.026098728179932,14.928008079528809,15.113151550292969,3361616.2565104165,202504.61417264835,3363572.875,3057968.0,3670056.0
24,80000,101,552.2881460189819,326400,408,3264,597.550797185302,5.97550797185302,32.0,32.0,800.0,0.0,800.0,800,800,-77.06862890989656,590.0763524126359,-15.197832496995304,-5946.911184731067,7.235379683724407,566.13,99.14581736008836,575.0,373,744,9.45988706851945,13.665213345117301,11.309294345539417,-107.10301438987355,21.890899319757157,0.8359567814817032,0.3899461894881714,0.6968080103397369,0.4238576889038086,1.750220775604248,11948.220953954844,9008.417935288999,9734.667332134377,3049.681398102618,61742.97917313702,14.867479994893074,0.039425474264444066,14.873254776000977,14.764270782470703,14.92712116241455,2890889.3515625,109158.6191690066,2905619.125,2608977.5,3055363.25
24,80000,107,584.3565354347229,345600,432,3456,598.7204331058659,5.98720433105866,32.0,32.0,800.0,0.0,800.0,800,800,-15.823790006786288,13.675593157682266,-14.037124477867643,-90.08523734611303,7.235379683724407,556.19,105.964210467497,572.0,287,744,10.59910751526091,8.394837429002273,11.383640400830366,-47.69970652208424,21.890899319757157,1.075333642385279,0.9329727144891087,0.7093788981437683,0.247160866856575,4.003774642944336,17024.219533369742,19654.47653034159,10526.135534003552,2698.728657751325,127569.15108737753,14.722517947355906,0.02109587812354418,14.722452163696289,14.695143699645996,14.7625093460083,2517479.3255208335,45533.21074796984,2513718.125,2456663.0,2604331.75
24,80000,113,616.2979428768158,364800,456,3648,601.1006257256508,6.011006257256509,32.0,32.0,800.0,0.0,800.0,800,800,-13.805882311039346,14.8565484249519,-12.889355145828542,-90.08523734611303,16.55229250565313,548.88,115.0782585895355,534.0,287,754,10.831434855843174,8.69979798858554,11.990755269739871,-47.69970652208424,21.890899319757157,0.7971760754783949,0.394599808626478,0.6649431884288788,0.41145190596580505,1.6488937139511108,14852.991121839057,9553.304547040625,11496.988908739328,3397.7855431235407,62339.29071011318,14.620558018485704,0.04885343161042376,14.61071252822876,14.555310249328613,14.700640678405762,2325540.2408854165,97188.81191746957,2292943.375,2208969.25,2475098.5
24,80000,119,648.4325625896454,384000,480,3840,597.486454533473,5.9748645453347295,32.0,32.0,800.0,0.0,800.0,800,800,-12.600276544594813,14.223558262911412,-10.90609637733256,-90.08523734611303,16.55229250565313,544.41,124.82123977913375,533.0,284,754,10.970978429090833,7.540481303792966,11.514065776285054,-47.69970652208424,21.890899319757157,0.6230225957309207,0.18878683492381018,0.6978567242622375,0.32327497005462646,0.9264049530029297,9335.212307774358,5720.044876345605,7598.496102183435,2646.3413174419616,35678.52369180519,14.483877554535866,0.03116791553259248,14.491056442260742,14.425734519958496,14.554935455322266,2051354.1276041667,72335.97474644764,2076813.6875,1922825.5,2208716.25
24,80000,125,680.4079241752625,403200,504,4032,600.4623262379747,6.004623262379748,32.0,32.0,800.0,0.0,800.0,800,800,-10.913785241299433,15.425681998680343,-7.609869751322592,-90.08523734611303,16.55229250565313,539.63,133.89082530181074,532.0,284,754,10.620708897056916,8.237081821548465,11.704765280010132,-47.69970652208424,20.596117454525654,0.7593355577749511,0.5238031367751494,0.5360073149204254,0.3536814749240875,2.2148454189300537,14408.353980664817,10710.186784997042,11040.266082381708,3160.117753783263,70563.48538068745,14.335454558332762,0.0608880473245927,14.343589782714844,14.203651428222656,14.424823760986328,1766764.95703125,101351.72715138982,1776412.875,1545102.375,1921264.375
24,80000,131,712.1781914234161,422400,528,4224,604.3386368150806,6.043386368150806,32.0,32.0,800.0,0.0,800.0,800,800,-8.052497204333992,13.02416935238043,-6.175055291440079,-71.18999812368794,16.55229250565313,529.72,133.66451137081975,523.5,284,754,12.330291858484362,5.92062805551375,13.130409323705727,-22.128948300003653,23.04852608529097,0.5163777576138576,0.20802266655663762,0.4603441655635834,0.2637253403663635,0.9646799564361572,8442.02679766506,4562.731539089823,7244.3589038681785,2520.789565495463,28353.973269513528,14.138125191132227,0.03323819917686448,14.129280090332031,14.065791130065918,14.2015380859375,1448008.1966145833,47860.84118653879,1433887.125,1349651.875,1541425.5
24,80000,137,743.9110863208771,441600,552,4416,605.0503763379073,6.050503763379074,32.0,32.0,800.0,0.0,800.0,800,800,-6.382604376430997,12.636033699035467,-4.4911963701466355,-71.18999812368794,15.574298926309437,527.88,135.38185107317744,524.0,284,753,12.67394095666636,6.253884478247741,13.730046007047164,-22.128948300003653,23.445037120473874,0.6938224940871199,0.32698196866123364,0.6370373070240021,0.29357022047042847,1.4780997037887573,14028.68301376908,9400.947632396908,11291.049129653342,3173.559836485154,62843.87588643577,14.027289335926374,0.030474256965213144,14.025847911834717,13.955422401428223,14.064666748046875,1312402.0227864583,29902.64810801809,1309158.0,1244690.375,1348395.25
24,80000,143,776.143705368042,460800,576,4608,595.6698700749474,5.956698700749474,32.0,32.0,800.0,0.0,800.0,800,800,-4.147494688463465,12.220538938887689,-1.9560269813781144,-71.18999812368794,15.574298926309437,523.24,136.09438783432623,502.5,255,753,13.143335676377163,6.320505237236662,14.119883281481165,-22.128948300003653,23.445037120473874,0.5240332535468042,0.21910790138835912,0.5260292887687683,0.23816770315170288,0.9380738139152527,7693.647450889658,5186.460560028824,6355.556376143476,2486.1259090369663,33403.412406161675,13.862861186265945,0.053021435434280194,13.870583057403564,13.776001930236816,13.954389572143555,1158193.0690104167,47307.33230307177,1167106.75,1065730.125,1244030.75
24,80000,149,808.3540127277374,480000,600,4800,596.0824833365249,5.960824833365249,32.0,32.0,800.0,0.0,800.0,800,800,-1.7934590419888041,10.861792358904871,-0.28870898821070884,-44.3474970593682,21.697307483923677,516.35,135.7032331965602,502.5,227,744,13.45753490540722,5.842327624151639,13.926573650732958,-15.862609722387559,23.445037120473874,0.8159041843997935,0.8021782293078519,0.5283098667860031,0.19025228917598724,3.049746036529541,11875.830642945291,9113.669755169576,8822.09309797953,3088.765167284873,59530.45306611895,13.716935907800993,0.023700383375257924,13.713927745819092,13.667855262756348,13.775425910949707,991749.5647786459,25198.23387079924,981654.9375,962881.6875,1064461.75
24,80000,155,840.1027481555939,499200,624,4992,604.7484960032095,6.0474849600320955,32.0,32.0,800.0,0.0,800.0,800,800,0.4740477545352401,11.460298354156725,1.715347549600894,-44.3474970593682,26.5099601860234,526.43,142.4195390387148,547.5,227,744,13.541810842556801,5.6397842905337345,13.875762337853153,-15.862609722387559,23.445037120473874,0.5691681623769304,0.18087998190050586,0.5875129997730255,0.29940423369407654,0.9049195051193237,12442.263686669954,8678.781296707433,9516.81253752733,2905.6672904445345,57468.62550041372,13.586284304658571,0.04420864498091718,13.590436935424805,13.497232437133789,13.6668701171875,867337.3304036459,48429.096322926984,862257.1875,787936.1875,962483.1875
24,80000,161,871.6990807056427,518400,648,5184,607.6654614768045,6.076654614768045,32.0,32.0,800.0,0.0,800.0,800,800,-109.2151139294888,1100.084660444597,3.5448580493468507,-11053.907587334574,30.768170778926066,521.5,144.16119450115553,532.0,227,744,9.006938154158062,38.235393767916165,13.856366489104655,-362.35670071514454,22.36396294228005,2841.462309351191,5524.509830693521,2.2252172231674194,0.3313165605068207,15154.6875,493675.57696097164,796986.6274939964,17882.03313080182,3776.9959003367862,2183074.2739848383,13.449549779295921,0.02114308583354412,13.438251972198486,13.429308891296387,13.495884895324707,743869.6673177084,18894.736163950034,735698.34375,724968.9375,786728.625
