NewCompletedTrajs,StepsInTrajWindow,Iteration,CumTime (s),CumSteps,CumCompletedTrajs,CumUpdates,StepsPerSecond,UpdatesPerSecond,ReplayRatio,CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
24,19200,2,29.290438175201416,19200,24,96,655.5040209762233,3.2775201048811162,32.0,32.0,800.0,0.0,800.0,800,800,-343.29699924345044,129.09609303757563,-309.07512143189973,-595.7205845654095,-80.79011276749286,800.0,0.0,800.0,800,800,-59.113816405678335,10.404036366931734,-57.235312152322436,-84.92261341171479,-42.78320393733607,35.683055778344475,2.912674130803966,36.15127944946289,29.26585578918457,40.05846405029297,244225.64122682795,39526.779263702934,220172.15331275098,201182.36219476745,303420.5184605428,17.097199082374573,0.03327746839528403,17.105192184448242,17.027315139770508,17.147075653076172,26639016.833333332,879817.8309891138,26841386.0,24822454.0,27987084.0
24,38400,5,57.587827920913696,38400,48,192,678.5078119408258,3.392539059704129,32.0,32.0,800.0,0.0,800.0,800,800,-379.2645944755841,135.6375209957821,-358.32323501434195,-721.7822878638316,-80.79011276749286,800.0,0.0,800.0,800,800,-61.248052008571584,10.336371641162247,-59.27060181527868,-84.92261341171479,-42.78320393733607,43.197638193766274,4.0474681049195524,42.92251396179199,35.627384185791016,51.72734832763672,509521.6437585133,19719.045249786366,517198.37403567415,466343.9328568385,537672.1433184182,17.147488633791607,0.0030800064189976995,17.148073196411133,17.142906188964844,17.15245819091797,28068061.8125,119763.25951784982,28058360.0,27917978.0,28353490.0
24,57600,8,86.64689230918884,57600,72,288,660.7232684252176,3.303616342126088,32.0,32.0,800.0,0.0,800.0,800,800,-389.47229134468205,149.60716864158587,-377.66206820127536,-743.2225973056661,-80.79011276749286,800.0,0.0,800.0,800,800,-61.504209206020555,12.0259357644353,-61.854233987001095,-86.33878093621733,-36.59303223586423,39.77915245294571,7.7061725177388904,41.7260684967041,27.561809539794922,53.733734130859375,602731.0617209672,79560.2354927493,630037.9495236235,455236.99906189565,709033.2803488827,17.170432090759277,0.015169583998774772,17.166854858398438,17.15129852294922,17.19867706298828,29112990.25,489958.4395394547,29056858.0,28365110.0,29994332.0
24,76800,11,118.21117734909058,76800,96,384,608.2824298325933,3.041412149162966,32.0,32.0,800.0,0.0,800.0,800,800,-379.68439064647765,149.41375810810706,-360.3834212924312,-743.2225973056661,-80.79011276749286,800.0,0.0,800.0,800,800,-61.1261594684276,12.278279936740082,-61.854233987001095,-86.33878093621733,-36.59303223586423,29.576500574747723,4.45959391318014,29.073519706726074,23.333568572998047,37.85651779174805,486647.32970806834,73090.33245219482,495068.0389145342,367473.9765032273,654922.5505721185,17.225084741910297,0.013416819510374637,17.22524642944336,17.199024200439453,17.247127532958984,31075094.125,615789.8118404399,31036105.0,30006382.0,32199854.0
24,80000,14,145.19231843948364,96000,120,480,711.6081538462572,3.558040769231286,32.0,32.0,800.0,0.0,800.0,800,800,-380.3458829264174,151.31828392615836,-377.08306353139227,-743.2225973056661,-62.0182565630962,800.0,0.0,800.0,800,800,-60.38849592728635,12.500019621567644,-61.66801056213208,-86.33878093621733,-31.595202189441114,29.487528145313263,7.037109543226344,30.708046913146973,19.61699867248535,39.72266387939453,466472.32857917325,98207.12448548936,512104.09277269675,309548.5311641259,603397.7419266395,17.285068730513256,0.018895725896508488,17.289875984191895,17.247791290283203,17.31450843811035,33648921.645833336,660960.6332399201,33803860.0,32231586.0,34610064.0
24,80000,17,174.25674724578857,115200,144,576,660.6013188132895,3.3030065940664475,32.0,32.0,800.0,0.0,800.0,800,800,-373.2347456164209,160.6853731831477,-371.21704887818976,-770.3826006499436,-62.0182565630962,800.0,0.0,800.0,800,800,-59.93469353785028,13.644239472229504,-61.66801056213208,-88.37156462970322,-31.595202189441114,28.56162836154302,1.2668039496261772,28.42302417755127,26.337156295776367,31.541086196899414,472644.35523943225,66165.02941103806,469714.76398936077,371584.8596269273,591184.9846972859,17.30996545155843,0.004210422853873238,17.30989170074463,17.30072593688965,17.31682586669922,35088527.875,222830.84784760923,35196094.0,34629108.0,35372188.0
24,80000,20,201.9203658103943,134400,168,672,694.0523690044472,3.470261845022236,32.0,32.0,800.0,0.0,800.0,800,800,-349.3844558445523,157.71980445614105,-316.99061912821185,-770.3826006499436,-62.0182565630962,800.0,0.0,800.0,800,800,-58.204167352558905,13.036401325803135,-56.40315524508223,-88.37156462970322,-31.595202189441114,20.911486625671387,3.6457106935333248,18.645075798034668,17.70148468017578,27.03671646118164,308146.2299831269,37615.03775542189,296919.72702463914,252035.13416143562,387657.265368932,17.317254622777302,0.01736905669599308,17.310468673706055,17.300342559814453,17.363449096679688,35914101.583333336,689241.8796098796,35536442.0,35244624.0,37622744.0
24,80000,23,229.22331404685974,153600,192,768,703.220759667146,3.5161037983357297,32.0,32.0,800.0,0.0,800.0,800,800,-350.451899997158,159.1931270504766,-326.8411457791484,-770.3826006499436,-62.0182565630962,800.0,0.0,800.0,800,800,-57.628170896562,12.19421877632982,-57.461886117307564,-88.37156462970322,-31.595202189441114,25.47291612625122,6.2284314348926895,29.060808181762695,16.25324821472168,31.898136138916016,428062.1087366238,134848.01645767907,463779.4639514724,233797.6038224929,702919.6260964284,17.383280138174694,0.006947374746016236,17.385154724121094,17.36432647705078,17.390745162963867,38652960.875,387732.38424769347,38783468.0,37655712.0,39045868.0
24,80000,26,258.27330803871155,172800,216,864,660.9295687078414,3.304647843539207,32.0,32.0,800.0,0.0,800.0,800,800,-352.1798332489382,161.13877284639855,-326.8411457791484,-770.3826006499436,-62.0182565630962,800.0,0.0,800.0,800,800,-57.59332682766992,12.073507586025865,-58.25468421877585,-88.37156462970322,-31.595202189441114,24.943916141986847,1.8629659788418915,25.503188133239746,21.852680206298828,27.822980880737305,389362.415333147,65887.95405274109,416395.9173226713,287132.2082568378,478589.96381093137,17.41276280085246,0.020186848634304,17.41041088104248,17.38496971130371,17.447751998901367,39614935.708333336,760813.0768555539,39567022.0,38701464.0,40805484.0
24,80000,29,287.5280337333679,192000,240,960,656.3042224493339,3.2815211122466694,32.0,32.0,800.0,0.0,800.0,800,800,-345.0080970135686,153.67771046079645,-316.92889979472807,-770.3826006499436,-83.40108293103033,800.0,0.0,800.0,800,800,-55.68899191668419,11.39148828649238,-56.05914089246164,-88.37156462970322,-25.77149101084385,18.93182870745659,2.4561104872761845,20.26511001586914,15.125359535217285,21.558086395263672,256891.8708806842,41729.4610669673,265407.32385852636,194063.96572355294,327342.0557327328,17.476843158404034,0.02633380335424363,17.4708194732666,17.447803497314453,17.529712677001953,42376272.5,1486158.2771997794,41958272.0,40803604.0,45410780.0
24,80000,32,313.18461894989014,211200,264,1056,748.3458861717758,3.7417294308588787,32.0,32.0,800.0,0.0,800.0,800,800,-346.2938760702428,154.73628541275767,-330.7661684714894,-692.5909816613763,-76.75351011317716,800.0,0.0,800.0,800,800,-55.73994686833482,11.715268051577208,-57.4419427816441,-83.99712475575784,-25.77149101084385,18.98362410068512,1.5509868566444158,19.37579917907715,16.54332160949707,22.079357147216797,288750.4141285534,62215.91022006014,305579.43331704347,192473.1742890721,469956.3532951739,17.57616639137268,0.01841514503611042,17.581217765808105,17.530620574951172,17.602479934692383,47513677.791666664,999543.9927683473,47447096.0,45470056.0,49396796.0
24,80000,35,342.5528652667999,230400,288,1152,653.7673306337305,3.2688366531686524,32.0,32.0,800.0,0.0,800.0,800,800,-333.9089899655999,144.8582086970259,-305.00911016283874,-692.5909816613763,-76.75351011317716,800.0,0.0,800.0,800,800,-54.24593084338352,11.567753277167085,-53.524081464155,-83.99712475575784,-25.77149101084385,18.468916018803913,1.590558872054672,18.920039176940918,15.426067352294922,20.80826759338379,347450.13856005186,240607.90878848606,312542.8560423854,247532.182469361,2612180.645294537,17.623624086380005,0.019556701457659312,17.613691329956055,17.602893829345703,17.671894073486328,50366429.833333336,1036293.9079636814,49779542.0,49427760.0,53105456.0
24,80000,38,369.10482001304626,249600,312,1248,723.1106027217944,3.6155530136089724,32.0,32.0,800.0,0.0,800.0,800,800,-334.4646444769071,147.44711923638832,-301.45274333019063,-692.5909816613763,-76.75351011317716,800.0,0.0,800.0,800,800,-54.21323732647229,11.578772389398676,-53.524081464155,-83.99712475575784,-25.77149101084385,18.4163978099823,4.991743705118829,15.536324977874756,13.428462982177734,27.181716918945312,418276.8294031401,119492.09800783351,430168.83973097475,213556.97910675264,707849.5544865094,17.6910084883372,0.008349173364120522,17.68905258178711,17.673290252685547,17.711410522460938,54521812.0,655566.188326803,54356578.0,53197820.0,56133052.0
