NewCompletedTrajs,StepsInTrajWindow,Iteration,CumTime (s),CumSteps,CumCompletedTrajs,CumUpdates,StepsPerSecond,UpdatesPerSecond,ReplayRatio,CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
24,19200,2,43.211557388305664,19200,24,96,444.32557307448707,2.2216278653724353,32.0,32.0,800.0,0.0,800.0,800,800,18.133328382932028,132.23292663408742,50.17849187895999,-380.15748422500644,168.44591566525955,800.0,0.0,800.0,800,800,18.791152406566727,20.06560405351485,28.134679163948945,-40.01708639657221,34.22340329507425,9.569160987933477,1.0728611054087012,9.63303279876709,7.332411289215088,11.541471481323242,79096.14088613576,17341.273254901353,76505.25957831932,52954.78252017837,123046.95710620502,17.0316460331281,0.0048894940339587025,17.031469345092773,17.020191192626953,17.038869857788086,24934232.375,124211.55027221116,24927867.0,24647290.0,25120500.0
24,38400,5,84.05512809753418,38400,48,192,470.0862257290791,2.3504311286453956,32.0,32.0,800.0,0.0,800.0,800,800,11.42883238640029,139.43457424220225,58.401345180367315,-450.6207934941863,186.9989375110116,800.0,0.0,800.0,800,800,18.33820991969152,20.06862157048636,27.984795219054817,-42.19656731144674,34.465618825098744,11.301978155970573,1.6938464781472462,11.478354454040527,7.630241394042969,14.007331848144531,104704.35980182234,10309.108671666068,105842.61908165432,82839.29649117502,120943.47813787608,17.02209323644638,0.007702996744604149,17.02202033996582,17.011045455932617,17.033885955810547,24699938.791666668,187227.9581251331,24691963.0,24440776.0,24992784.0
24,57600,8,122.33302068710327,57600,72,288,501.59501218810806,2.5079750609405402,32.0,32.0,800.0,0.0,800.0,800,800,21.717079173735037,128.42698467369823,60.16132851626569,-450.6207934941863,186.9989375110116,800.0,0.0,800.0,800,800,18.180241791900894,18.768855521309096,27.45098520364283,-42.19656731144674,34.465618825098744,5.17773678402106,2.6545604455090017,4.343921422958374,2.118705987930298,9.736189842224121,79538.69498237954,27489.01180021316,71800.12271105655,46322.868056634965,164212.6338466199,16.99114602804184,0.018985810966314166,16.99459457397461,16.9443359375,17.012935638427734,23959571.270833332,461020.5783249738,24031923.0,22850520.0,24508058.0
24,76800,11,191.91472244262695,76800,96,384,275.9346137790576,1.3796730688952878,32.0,32.0,800.0,0.0,800.0,800,800,23.86021989228031,120.20009876466686,56.426610112880695,-450.6207934941863,204.34828242719664,800.0,0.0,800.0,800,800,18.01502670641458,18.400322675071937,27.233450693695303,-42.19656731144674,34.68791979929716,6.380874325831731,1.751182840252601,5.411011695861816,4.535985946655273,9.353235244750977,70376.93242506632,20422.507350878936,67181.02820135812,37459.7095818848,149390.2546564069,16.949615716934204,0.017978817968462662,16.94319248199463,16.928543090820312,16.979921340942383,22986773.1875,421200.78981739597,22831037.0,22496340.0,23687460.0
24,80000,14,233.22881984710693,96000,120,480,464.7324086987801,2.3236620434939006,32.0,32.0,800.0,0.0,800.0,800,800,28.842044813221673,104.65889550947621,42.05229797372165,-450.6207934941863,204.34828242719664,800.0,0.0,800.0,800,800,19.36242753567167,15.90604790145476,26.93643492166634,-42.19656731144674,34.68791979929716,6.356726847589016,3.945346702830804,4.853632211685181,2.3203065395355225,16.18303680419922,125970.5147312885,94418.13590147186,84659.99514712184,46766.247996204256,464271.70090385736,16.976013521353405,0.005854749888791755,16.97909164428711,16.96784782409668,16.983570098876953,23585707.854166668,139799.03870891625,23663494.0,23392200.0,23760886.0
24,80000,17,274.31609201431274,115200,144,576,467.29799734246313,2.3364899867123157,32.0,32.0,800.0,0.0,800.0,800,800,25.389433199529343,100.67642187177856,35.82860601904507,-462.4681063379234,204.34828242719664,800.0,0.0,800.0,800,800,18.996154766453788,15.824630777143167,26.115492753239558,-41.74762750328444,34.68791979929716,7.95282502969106,2.1277206691435766,7.192970275878906,4.894062042236328,12.236806869506836,142437.48330984003,48240.36013356034,139839.02646827692,57666.466978415425,278405.347851452,16.976813058058422,0.010608870447610406,16.973186492919922,16.962963104248047,16.990650177001953,23628168.354166668,264749.0303650791,23540557.0,23292834.0,23973268.0
24,78411,20,318.5721390247345,134400,168,672,433.8390185521684,2.169195092760842,32.0,32.0,784.11,111.23020228337265,800.0,4,800,11.509450430137251,114.24915572027994,23.377225490089653,-462.4681063379234,204.34828242719664,784.09,111.37020202908856,800.0,3,800,16.91325721835564,18.050776853655165,23.11954807830635,-43.37172152843115,34.68791979929716,8.550383776426315,2.1960321817547923,7.891905784606934,5.8841681480407715,13.604181289672852,161056.3269140226,59331.88533948452,154450.50654919478,78248.28788925672,363546.71456718084,16.985968152681988,0.007247749107301598,16.988797187805176,16.972932815551758,16.995033264160156,23871524.604166668,166341.2431324334,23931584.0,23571466.0,24081444.0
24,78411,23,357.8811790943146,153600,192,768,488.43726445658547,2.4421863222829274,32.0,32.0,784.11,111.23020228337266,800.0,4,800,2.78150010532085,124.18526709371329,21.287000669915905,-494.77110196814584,172.31978450752388,784.09,111.37020202908855,800.0,3,800,16.070465180997292,19.582592518377464,24.629370755066603,-46.17371343558037,34.452696409921934,6.427856184542179,1.6553747982964016,6.509566307067871,3.940117359161377,9.673198699951172,124523.54694337992,67615.63411296054,110480.94924685205,46359.18966436491,401124.40465713997,16.984676897525787,0.0056428743741102,16.984556198120117,16.973094940185547,16.993408203125,23868328.25,151211.05533746807,23858437.0,23571494.0,24162970.0
24,77614,26,401.51384806632996,172800,216,864,440.0372576867639,2.2001862884338195,32.0,32.0,776.14,135.67402256880277,800.0,3,800,-5.475896970220889,129.66612758603316,13.518529935789411,-494.77110196814584,172.31978450752388,776.11,135.84460938881602,800.0,2,800,15.136278478892402,20.04896548053187,23.11954807830635,-46.17371343558037,34.73696854539824,7.332177909711997,3.13129880675594,8.22998571395874,2.6993629932403564,11.687392234802246,159051.73113204096,103064.66815208725,124258.30404917299,44420.136800444234,581654.7019173064,17.030582785606384,0.016344849232679804,17.035165786743164,16.993457794189453,17.056947708129883,24974364.8125,356363.33865330694,25054935.0,24166402.0,25589428.0
24,76819,29,445.3466353416443,192000,240,960,438.0282704680526,2.190141352340263,32.0,32.0,768.19,155.83681817850362,800.0,3,800,12.845193422226107,130.1545448520024,26.443684380877624,-494.77110196814584,232.6457185897715,768.15,156.0327770053459,800.0,2,800,16.431208577693873,20.142459547607125,25.983504607416112,-46.17371343558037,35.51329478670638,4.919373527169228,0.8400388855119437,4.760666608810425,3.814906120300293,7.676589488983154,150892.26615812327,101938.21266620641,117163.55705981693,67775.71445748568,577914.6499375113,17.056140899658203,0.004258514725930063,17.05641746520996,17.049388885498047,17.062759399414062,25561017.166666668,110960.34184062741,25565351.0,25385380.0,25735626.0
